grid_size,lr,sigma,tau,tau_2,quantization_error,topographical_error,quantization_error_std,topographical_error_std
"[10, 10]",0.05,10,20,10,2.9325190697787047,0.006151142355008788,0.006135126838872074,0.002636203866432339
"[10, 10]",0.05,10,20,20,2.5064467096483916,0.027240773286467485,0.008157969358979056,0.0008787346221441148
"[10, 10]",0.05,10,20,40,2.1819144677280344,0.16608084358523728,0.009865360414562652,0.009666080843585223
"[10, 10]",0.05,10,40,10,3.3544521770673086,0.0008787346221441124,0.0005095020465075706,0.0008787346221441124
"[10, 10]",0.05,10,40,20,2.854172920514549,0.007908611599297014,0.000994080435342104,0.0008787346221441139
"[10, 10]",0.05,10,40,40,2.654439118240309,0.009666080843585239,0.003102144264012452,0.007908611599297012
"[10, 10]",0.5,1,10,10,1.9709408679223759,0.3919156414762742,0.0026197631134007304,0.007029876977152877
"[10, 10]",0.5,1,10,20,1.9276265125135743,0.5869947275922671,0.0048093206322327164,0.017574692442882234
"[10, 10]",0.5,1,10,40,1.9037699783594968,0.687170474516696,0.0016064203439867253,0.00351493848857648
"[10, 10]",0.5,1,20,10,2.00810582230436,0.37873462214411246,0.0039018315181056362,0.025483304042179272
"[10, 10]",0.5,1,20,20,1.950515133630458,0.4507908611599297,0.008677543139920973,0.05008787346221444
"[10, 10]",0.5,1,20,40,1.920579360868488,0.6669595782073814,0.0010086103160124038,0.011423550087873435
"[10, 10]",0.5,1,40,10,2.1013418329011406,0.18014059753954306,0.004159098295625885,0.011423550087873463
"[10, 10]",0.5,1,40,20,1.9954080119406077,0.3409490333919156,0.008265886605439254,0.007029876977152877
"[10, 10]",0.5,1,40,40,1.9446020513386404,0.484182776801406,0.004299043386324364,0.021968365553602792
"[10, 10]",0.5,5,10,10,2.090918439019068,0.22056239015817225,0.011624913855712293,0.013181019332161717
"[10, 10]",0.5,5,10,20,1.9739544199594437,0.38752196836555364,0.0011034710779277423,0.03427065026362039
"[10, 10]",0.5,5,10,40,1.9312235090522747,0.5667838312829525,5.014189641505684e-05,0.02196836555360282
"[10, 10]",0.5,5,20,10,2.3803525604216267,0.05887521968365554,0.003177160976594484,0.006151142355008788
"[10, 10]",0.5,5,20,20,2.047470803793134,0.2513181019332162,0.002728144638657559,0.022847100175746926
"[10, 10]",0.5,5,20,40,1.9824518112258982,0.40949033391915646,0.001495114120590002,0.019332161687170446
"[10, 10]",0.5,5,40,10,2.7608506362252268,0.004393673110720562,0.0016110836416856067,0.002636203866432337
"[10, 10]",0.5,5,40,20,2.3723647219896433,0.05184534270650264,0.008287787044313655,0.014938488576449915
"[10, 10]",0.5,5,40,40,2.131305000958675,0.1572934973637961,0.0005532399136429778,0.009666080843585237
"[10, 10]",0.5,10,10,10,2.1784088476529564,0.1818980667838313,0.01585133719856824,0.006151142355008785
"[10, 10]",0.5,10,10,20,1.9950099073741967,0.36115992970123023,0.001360817751432486,0.02372583479789106
"[10, 10]",0.5,10,10,40,1.9314872547629829,0.5149384885764499,0.006904045080093124,0.06678383128295257
"[10, 10]",0.5,10,20,10,2.6096781811281886,0.02021089630931459,0.0022217632782246532,0.0026362038664323392
"[10, 10]",0.5,10,20,20,2.1074873092433988,0.2056239015817223,0.0067564586145263394,0.014059753954305781
"[10, 10]",0.5,10,20,40,2.0078139208567483,0.35676625659050965,0.006620238254899213,0.01581722319859405
"[10, 10]",0.5,10,40,10,3.0301844517672296,0.007029876977152899,0.00828376236818551,0.0
