grid_size,lr,sigma,tau,tau_2,quantization_error,topographical_error,quantization_error_std,topographical_error_std
"[10, 10]",0.005,10,10,40,0.8294798844725048,0.016,0.008264300611030057,0.006531972647421808
"[10, 10]",0.005,10,20,10,1.8515271621366027,0.008,0.007271393182915922,0.006531972647421808
"[10, 10]",0.005,10,20,20,1.3321311890515704,0.0,0.01666382523703838,0.0
"[10, 10]",0.005,10,20,40,0.9052690913889304,0.005333333333333333,0.0004988227350258393,0.007542472332656507
"[10, 10]",0.005,10,40,10,2.0947469661631626,0.0,0.030020551623916,0.0
"[10, 10]",0.005,10,40,20,1.599494563690693,0.0,0.0035384075289324247,0.0
"[10, 10]",0.005,10,40,40,1.1448903676828472,0.0,0.000575562245516745,0.0
"[10, 10]",0.05,1,10,10,0.4808669738310254,0.13333333333333333,0.018989106167841174,0.058908592091665386
"[10, 10]",0.05,1,10,20,0.32698509644713125,0.16,0.01509156662078928,0.04525483399593904
"[10, 10]",0.05,1,10,40,0.3095927033808494,0.1386666666666667,0.022639101117639508,0.0434920171474669
"[10, 10]",0.05,1,20,10,0.5077245916825133,0.09600000000000002,0.006701971761587551,0.028472208672083502
"[10, 10]",0.05,1,20,20,0.29879856346485983,0.08533333333333333,0.03461504989423554,0.020997354330698163
"[10, 10]",0.05,1,20,40,0.21378064872272787,0.06666666666666667,0.019776981712483706,0.018856180831641266
"[10, 10]",0.05,1,40,10,0.5548975157151919,0.05066666666666667,0.028173076722388564,0.020997354330698163
"[10, 10]",0.05,1,40,20,0.2830448631699502,0.09600000000000002,0.02011844079538457,0.017281975195754293
"[10, 10]",0.05,1,40,40,0.20381974102535652,0.06133333333333333,0.021148615592792016,0.037142368739157654
"[10, 10]",0.05,5,10,10,0.5428572026175612,0.0026666666666666666,0.004174051035237233,0.0037712361663282535
"[10, 10]",0.05,5,10,20,0.23607154996308222,0.018666666666666668,0.00869496989080552,0.016438437341250604
"[10, 10]",0.05,5,10,40,0.17355272724273005,0.016,0.002786629132180793,0.017281975195754296
"[10, 10]",0.05,5,20,10,0.7750504412996274,0.0,0.004395014185773484,0.0
"[10, 10]",0.05,5,20,20,0.37965046517492795,0.005333333333333333,0.0010145224062281472,0.0037712361663282535
"[10, 10]",0.05,5,20,40,0.19009038781185128,0.0,0.0022557144168912323,0.0
"[10, 10]",0.05,5,40,10,1.0160817040454286,0.005333333333333333,0.004107325172060307,0.007542472332656507
"[10, 10]",0.05,5,40,20,0.6645750483633165,0.0,0.006275965165416944,0.0
"[10, 10]",0.05,5,40,40,0.34450860014054535,0.0,0.006620722177615242,0.0
"[10, 10]",0.05,10,10,10,0.7420084428238267,0.0,0.007063355020051981,0.0
"[10, 10]",0.05,10,10,20,0.29945230015589064,0.008,0.009777105366276195,0.006531972647421808
"[10, 10]",0.05,10,10,40,0.1836675419031084,0.005333333333333333,0.002504233938687766,0.0037712361663282535
"[10, 10]",0.05,10,20,10,1.0809110741407864,0.0,0.0045975664820890215,0.0
"[10, 10]",0.05,10,20,20,0.5574839061824569,0.005333333333333333,0.005318069128523148,0.0037712361663282535
"[10, 10]",0.05,10,20,40,0.22330821488741426,0.016,0.002007026385570131,0.017281975195754293
"[10, 10]",0.05,10,40,10,1.550443265797359,0.0,0.002044014182208292,0.0
"[10, 10]",0.05,10,40,20,0.9395567162417303,0.0,0.000876338899634794,0.0
"[10, 10]",0.05,10,40,40,0.604751382084533,0.0,0.006294002118321725,0.0
"[10, 10]",0.5,1,10,10,0.13951768898829225,0.018666666666666668,0.013185630563044346,0.016438437341250604
"[10, 10]",0.5,1,10,20,0.14137933099932745,0.042666666666666665,0.011447549283813937,0.03597530016861877
"[10, 10]",0.5,1,10,40,0.12443262117017224,0.024000000000000004,0.007194454912997429,0.017281975195754296
"[10, 10]",0.5,1,20,10,0.14572201616737807,0.024000000000000004,0.009089732684224082,0.006531972647421809
"[10, 10]",0.5,1,20,20,0.12006822044359385,0.029333333333333333,0.0017328618855775592,0.024729649321321878
